model,best_params,cv_f1_macro_mean,cv_f1_macro_std,cv_acc_mean,test_acc,test_f1_macro,test_f1_weighted,test_bal_acc,fit_time_s,predict_time_s
KNN,"{""clf__metric"": ""manhattan"", ""clf__n_neighbors"": 3, ""clf__weights"": ""distance""}",0.9954631655550182,0.0012308697504257028,0.9955966362801215,0.9953271028037384,0.9954817488660485,0.995329838470141,0.995199273085228,6.32,1.797
GaussianNB,"{""clf__var_smoothing"": 1e-09}",0.5678924646776562,0.008153188965339581,0.5679353503538367,0.578001437814522,0.5793142095856506,0.6052215846753373,0.5755495775610678,0.3,0.013
LDA,"{""clf__shrinkage"": null, ""clf__solver"": ""lsqr""}",0.9448300072788609,0.0040688885022717525,0.94805931938177,0.9511143062544932,0.948321508281889,0.9527573061629855,0.9492593233955814,0.4,0.002
AdaBoost,"{""clf__estimator__max_depth"": 2, ""clf__learning_rate"": 1.0, ""clf__n_estimators"": 200}",0.9138924050734815,0.007982365457761013,0.9221775341470064,0.9083393242271747,0.8978464828192633,0.910105865876905,0.9006153069787722,125.18,0.113
